ID,Tipo,SKU,Nombre,Publicado,¿Está destacado?,Visibilidad en el catálogo,Descripción corta,Descripción,Día en que empieza el precio rebajado,Día en que termina el precio rebajado,Estado del impuesto,Clase de impuesto,¿En inventario?,Inventario,Cantidad de bajo inventario,¿Permitir reservas de productos agotados?,¿Vendido individualmente?,Peso (kg),Longitud (cm),Anchura (cm),Altura (cm),¿Permitir valoraciones de clientes?,Nota de compra,Precio rebajado,Precio normal,Categorías,Etiquetas,Clase de envío,Imágenes,Límite de descargas,Días de caducidad de la descarga,Superior,Productos agrupados,Ventas dirigidas,Ventas cruzadas,URL externa,Texto del botón,Posición,Nombre del atributo 1,Valor(es) del atributo 1,Atributo visible 1,Atributo global 1,Nombre de la descarga 1,URL de la descarga 1
1,simple,BZPNTRIVNIN6,Conjunto Niño Pantalon - Buzo River Plate,1,0,visible,Conjunto Niño Pantalon - Buzo River Plate,,,,taxable,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,Talla,6,1,0,,
2,simple,BZPNTBOCNIN6,Conjunto Niño Pantalon - Buzo Boca Juniors,1,0,visible,Conjunto Niño Pantalon - Buzo Boca Juniors,,,,taxable,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,Talla,6,1,0,,
3,simple,BZPNTAFANIN6,Conjunto Niño Pantalon - Buzo AFA,1,0,visible,Conjunto Niño Pantalon - Buzo AFA,,,,taxable,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,Talla,6,1,0,,
4,simple,BZPNTBARNIN8,Conjunto Niño Pantalon - Buzo Barcelona,1,0,visible,Conjunto Niño Pantalon - Buzo Barcelona,,,,taxable,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,Talla,8,1,0,,
5,simple,BZPNTCHENIN8,Conjunto Niño Pantalon - Buzo Chelsea,1,0,visible,Conjunto Niño Pantalon - Buzo Chelsea,,,,taxable,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,Talla,8,1,0,,
6,simple,BZPNTMILNIN8,Conjunto Niño Pantalon - Buzo Milan,1,0,visible,Conjunto Niño Pantalon - Buzo Milan,,,,taxable,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,Talla,8,1,0,,
7,simple,BZPNTMADNIN8,Conjunto Niño Pantalon - Buzo Real Madrid,1,0,visible,Conjunto Niño Pantalon - Buzo Real Madrid,,,,taxable,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,Talla,8,1,0,,
8,simple,BZPNTLIVNIN8,Conjunto Niño Pantalon - Buzo Liverpool,1,0,visible,Conjunto Niño Pantalon - Buzo Liverpool,,,,taxable,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,Talla,8,1,0,,
9,simple,BZPNTRIVNIN8,Conjunto Niño Pantalon - Buzo River Plate,1,0,visible,Conjunto Niño Pantalon - Buzo River Plate,,,,taxable,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,Talla,8,1,0,,
10,simple,BZPNTAFANIN8,Conjunto Niño Pantalon - Buzo AFA,1,0,visible,Conjunto Niño Pantalon - Buzo AFA,,,,taxable,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,Talla,8,1,0,,
